Year,LAI_China,LST_China,LAI_India,LST_India
2003,0.8,293.09,0.91,307.46
2004,0.82,293.77,0.94,307.42
2005,0.79,293.12,0.94,307.53
2006,0.83,293.67,0.97,307.33
2007,0.84,293.92,0.97,307.26
2008,0.85,293.41,0.96,306.85
2009,0.85,293.5,0.96,307.84
2010,0.81,292.94,0.96,307.13
2011,0.86,293.03,1.01,306.77
2012,0.84,292.47,0.96,306.98
2013,0.92,293.49,1.01,306.74
2014,0.89,293.48,1.04,306.72
2015,0.9,293.72,1.06,306.79
2016,0.93,293.34,1,307.72
2017,0.95,293.56,1.07,307.2
2018,0.93,293.28,1.01,307.08
