year,Qushtapa,Ainkwawa,Khabat,Bnaslawa,Shorsh,Shaqlawa,Harir,Khalifan,Soran,Rwandz
2001,355,,258,411,,611,423,830,496,697
2002,451,514,425,466,688,1036,713,930,826,695
2003,338,498,417,439,686,1011,724,850,802,761
2004,375,487,328,487,833,978,706,732,800,879
2005,269,271,268,263,679,635,436,574,570,615
2006,351,543,392,472,501,1060,746,1008,977,1090
2007,304,313,239,300,435,663,487,615,512,615
2008,303,281,214,219,262,547,352,499,447,488
2009,227,307,208,252,383,663,567,707,603,656
2010,307,301,266,254,540,694,423,515,518,504
2011,159,344,247,281,451,656,460,545,613,632
2012,250,343,281,357,545,761,587,688,625,691
2013,330,464,381,427,621,1047,565,833,670,772
2014,394,438,347,439,566,766,567,747,713,716
2015,364,369,318,409,498,763,628,775,710,763
2016,326,357,323,309,473,748,646,827,790,883
2017,180,211,169,173,291,518,383,546,532,515
2018,744,758,649,684,969,1123,828,1204,1070,1073
2019,573,634,640,566,757,1163,966,1138,892,893
2020,394,430,408,411,581,754,618,787,854,789
